ERROR:root:Error fetching data for number 72: 0, message='Attempt to decode JSON with unexpected mimetype: ', url=URL('https://api.pokemontcg.io/v2/cards/xy1-72')
ERROR:root:Error fetching data for number 113: 0, message='Attempt to decode JSON with unexpected mimetype: ', url=URL('https://api.pokemontcg.io/v2/cards/xy1-113')
ERROR:root:Error fetching data for number 108: 0, message='Attempt to decode JSON with unexpected mimetype: ', url=URL('https://api.pokemontcg.io/v2/cards/xy1-108')
ERROR:root:Error fetching data for number 111: 0, message='Attempt to decode JSON with unexpected mimetype: ', url=URL('https://api.pokemontcg.io/v2/cards/xy1-111')
ERROR:root:Error fetching data for number 79: 0, message='Attempt to decode JSON with unexpected mimetype: ', url=URL('https://api.pokemontcg.io/v2/cards/xy1-79')
ERROR:root:Error fetching data for number 136: 0, message='Attempt to decode JSON with unexpected mimetype: ', url=URL('https://api.pokemontcg.io/v2/cards/xy1-136')
ERROR:root:Error fetching data for number 41: 0, message='Attempt to decode JSON with unexpected mimetype: ', url=URL('https://api.pokemontcg.io/v2/cards/xy1-41')
ERROR:root:Error fetching data for number 117: 0, message='Attempt to decode JSON with unexpected mimetype: ', url=URL('https://api.pokemontcg.io/v2/cards/xy1-117')
ERROR:root:Error fetching data for number 140: 0, message='Attempt to decode JSON with unexpected mimetype: ', url=URL('https://api.pokemontcg.io/v2/cards/xy1-140')
ERROR:root:Error fetching data for number 137: 0, message='Attempt to decode JSON with unexpected mimetype: ', url=URL('https://api.pokemontcg.io/v2/cards/xy1-137')
ERROR:root:Error fetching data for number 71: 0, message='Attempt to decode JSON with unexpected mimetype: ', url=URL('https://api.pokemontcg.io/v2/cards/xy1-71')
ERROR:root:Error fetching data for number 72: 0, message='Attempt to decode JSON with unexpected mimetype: ', url=URL('https://api.pokemontcg.io/v2/cards/xy1-72')
ERROR:root:Error fetching data for number 108: 0, message='Attempt to decode JSON with unexpected mimetype: ', url=URL('https://api.pokemontcg.io/v2/cards/xy1-108')
ERROR:root:Error fetching data for number 76: 0, message='Attempt to decode JSON with unexpected mimetype: ', url=URL('https://api.pokemontcg.io/v2/cards/xy1-76')
ERROR:root:Error fetching data for number 53: 0, message='Attempt to decode JSON with unexpected mimetype: ', url=URL('https://api.pokemontcg.io/v2/cards/xy1-53')
ERROR:root:Error fetching data for number 65: 0, message='Attempt to decode JSON with unexpected mimetype: ', url=URL('https://api.pokemontcg.io/v2/cards/xy1-65')
ERROR:root:Error fetching data for number 122: 0, message='Attempt to decode JSON with unexpected mimetype: ', url=URL('https://api.pokemontcg.io/v2/cards/xy1-122')
ERROR:root:Error fetching data for number 98: 0, message='Attempt to decode JSON with unexpected mimetype: ', url=URL('https://api.pokemontcg.io/v2/cards/xy1-98')
ERROR:root:Error fetching data for number 111: 0, message='Attempt to decode JSON with unexpected mimetype: ', url=URL('https://api.pokemontcg.io/v2/cards/xy1-111')
ERROR:root:Error fetching data for number 135: 0, message='Attempt to decode JSON with unexpected mimetype: ', url=URL('https://api.pokemontcg.io/v2/cards/xy1-135')
ERROR:root:Error fetching data for number 144: 0, message='Attempt to decode JSON with unexpected mimetype: ', url=URL('https://api.pokemontcg.io/v2/cards/xy1-144')
ERROR:root:Error fetching data for number 147: 0, message='Attempt to decode JSON with unexpected mimetype: ', url=URL('https://api.pokemontcg.io/v2/cards/xy1-147')
ERROR:root:Error fetching data for number 78: 0, message='Attempt to decode JSON with unexpected mimetype: ', url=URL('https://api.pokemontcg.io/v2/cards/xy1-78')
ERROR:root:Error fetching data for number 91: 0, message='Attempt to decode JSON with unexpected mimetype: ', url=URL('https://api.pokemontcg.io/v2/cards/xy1-91')
ERROR:root:Error fetching data for number 136: 0, message='Attempt to decode JSON with unexpected mimetype: ', url=URL('https://api.pokemontcg.io/v2/cards/xy1-136')
ERROR:root:Error fetching data for number 41: 0, message='Attempt to decode JSON with unexpected mimetype: ', url=URL('https://api.pokemontcg.io/v2/cards/xy1-41')
ERROR:root:Error fetching data for number 117: 0, message='Attempt to decode JSON with unexpected mimetype: ', url=URL('https://api.pokemontcg.io/v2/cards/xy1-117')
ERROR:root:Error fetching data for number 71: 0, message='Attempt to decode JSON with unexpected mimetype: ', url=URL('https://api.pokemontcg.io/v2/cards/xy1-71')
ERROR:root:Error fetching data for number 65: 0, message='Attempt to decode JSON with unexpected mimetype: ', url=URL('https://api.pokemontcg.io/v2/cards/xy1-65')
ERROR:root:Error fetching data for number 53: 0, message='Attempt to decode JSON with unexpected mimetype: ', url=URL('https://api.pokemontcg.io/v2/cards/xy1-53')
ERROR:root:Error fetching data for number 135: 0, message='Attempt to decode JSON with unexpected mimetype: ', url=URL('https://api.pokemontcg.io/v2/cards/xy1-135')
ERROR:root:Error fetching data for number 144: 0, message='Attempt to decode JSON with unexpected mimetype: ', url=URL('https://api.pokemontcg.io/v2/cards/xy1-144')
ERROR:root:Error fetching data for number 147: 0, message='Attempt to decode JSON with unexpected mimetype: ', url=URL('https://api.pokemontcg.io/v2/cards/xy1-147')
ERROR:root:Error fetching data for number 78: 0, message='Attempt to decode JSON with unexpected mimetype: ', url=URL('https://api.pokemontcg.io/v2/cards/xy1-78')
ERROR:root:Error fetching data for number 91: 0, message='Attempt to decode JSON with unexpected mimetype: ', url=URL('https://api.pokemontcg.io/v2/cards/xy1-91')
ERROR:root:Error fetching data for number 71: 0, message='Attempt to decode JSON with unexpected mimetype: ', url=URL('https://api.pokemontcg.io/v2/cards/xy1-71')
ERROR:root:Error fetching data for number 135: 0, message='Attempt to decode JSON with unexpected mimetype: ', url=URL('https://api.pokemontcg.io/v2/cards/xy1-135')
ERROR:root:Error fetching data for number 65: 0, message='Attempt to decode JSON with unexpected mimetype: ', url=URL('https://api.pokemontcg.io/v2/cards/xy1-65')
ERROR:root:Error fetching data for number 144: 0, message='Attempt to decode JSON with unexpected mimetype: ', url=URL('https://api.pokemontcg.io/v2/cards/xy1-144')
ERROR:root:Error fetching data for number 83: 0, message='Attempt to decode JSON with unexpected mimetype: ', url=URL('https://api.pokemontcg.io/v2/cards/xy1-83')
ERROR:root:Error fetching data for number 123: 0, message='Attempt to decode JSON with unexpected mimetype: ', url=URL('https://api.pokemontcg.io/v2/cards/xy1-123')
ERROR:root:Error fetching data for number 139: 0, message='Attempt to decode JSON with unexpected mimetype: ', url=URL('https://api.pokemontcg.io/v2/cards/xy1-139')
ERROR:root:Error fetching data for number 114: 0, message='Attempt to decode JSON with unexpected mimetype: ', url=URL('https://api.pokemontcg.io/v2/cards/xy1-114')
ERROR:root:Error fetching data for number 81: 0, message='Attempt to decode JSON with unexpected mimetype: ', url=URL('https://api.pokemontcg.io/v2/cards/xy1-81')
ERROR:root:Error fetching data for number 103: 0, message='Attempt to decode JSON with unexpected mimetype: ', url=URL('https://api.pokemontcg.io/v2/cards/xy1-103')
